2	134	-1.85	131.09
2	135	-1.9	132.16
2	136	-1.95	133.23
2	137	-1.99	134.3
2	138	-2.04	135.37
2	139	-2.09	136.44
2	140	-2.13	137.51
2	141	-2.17	138.58
2	142	-2.21	139.66
2	143	-2.25	140.73
2	144	-2.29	141.81
2	145	-2.33	142.88
2	146	-2.37	143.96
2	147	-2.4	145.03
2	148	-2.44	146.11
2	149	-2.47	147.19
2	150	-2.5	148.27
2	151	-2.53	149.35
2	152	-2.56	150.42
2	153	-2.58	151.5
2	154	-2.61	152.58
2	155	-2.63	153.66
2	156	-2.66	154.75
2	157	-2.68	155.83
2	158	-2.7	156.91
2	159	-2.71	157.99
2	160	-2.73	159.07
2	161	-2.75	160.16
2	162	-2.76	161.24
2	163	-2.77	162.32
2	164	-2.78	163.41
2	165	-2.79	164.49
2	166	-2.8	165.57
2	167	-2.81	166.66
2	168	-2.81	167.74
2	169	-2.82	168.83
2	170	-2.82	169.91
2	171	-2.82	170.99
2	172	-2.82	172.08
2	173	-2.82	173.16
2	174	-2.81	174.25
2	175	-2.81	175.33
2	176	-2.8	176.41
2	177	-2.8	177.5
2	178	-2.79	178.58
2	179	-2.78	179.66
2	180	-2.72	181.14
2	181	-2.71	182.21
3	1	-1.7	2.27
3	2	-1.69	3.34
3	3	-1.68	4.4
3	4	-1.67	5.47
3	5	-1.66	6.54
3	6	-1.65	7.61
3	7	-1.64	8.68
3	8	-1.62	9.75
3	9	-1.6	10.81
3	10	-1.57	11.88
3	11	-1.55	12.95
3	12	-1.53	14.02
3	13	-1.51	15.09
3	14	-1.49	16.16
3	15	-1.46	17.23
3	16	-1.43	18.29
3	17	-1.4	19.36
3	18	-1.37	20.43
3	19	-1.34	21.5
3	20	-1.3	22.57
3	21	-1.27	23.64
3	22	-1.23	24.7
3	23	-1.18	25.77
3	24	-1.15	26.83
3	25	-1.1	27.9
3	26	-1.05	28.97
3	27	-1.01	30.02
3	28	-0.96	31.09
3	29	-0.91	32.15
3	30	-0.86	33.21
3	31	-0.79	34.27
3	32	-0.74	35.32
3	33	-0.68	36.37
3	34	-0.62	37.43
3	35	-0.56	38.49
3	36	-0.49	39.54
3	37	-0.43	40.6
3	38	-0.36	41.64
3	39	-0.29	42.68
3	40	-0.22	43.73
3	41	-0.14	44.77
3	42	-0.08	45.82
3	43	0	46.87
3	44	0.07	47.91
3	45	0.15	48.94
3	46	0.23	49.97
3	47	0.31	51.01
3	48	0.39	52.04
3	49	0.47	53.08
3	50	0.55	54.1
3	51	0.63	55.14
3	52	0.72	56.16
3	53	0.81	57.18
3	54	0.89	58.19
3	55	0.98	59.2
3	56	1.07	60.21
3	57	1.16	61.22
3	58	1.25	62.23
3	59	1.34	63.24
3	60	1.43	64.25
3	61	1.51	65.25
3	62	1.6	66.25
3	63	1.69	67.25
3	64	1.78	68.25
3	65	1.86	69.26
3	66	1.95	70.26
3	67	2.04	71.25
